chrom	start	stop	clusterID
1	29165	29483	1
1	567122	567401	2
1	762982	763181	3
1	844314	845703	4
1	859816	860118	5
1	860663	861388	6
1	876292	877030	7
1	879045	879539	8
1	886419	886651	9
1	896139	896424	10
1	901643	901815	11
1	933494	934265	12
1	936610	937345	13
1	955647	955764	14
1	955927	956326	15
1	976107	976703	16
1	978964	979825	17
1	994913	995289	18
1	995804	996825	19
1	1007576	1008283	20
1	1019840	1020446	21
1	1020997	1021753	22
1	1023247	1023643	23
1	1024207	1024532	24
1	1027572	1027788	25
1	1050551	1050775	26
1	1051534	1051729	27
1	1051763	1052218	28
1	1065867	1066416	29
1	1093212	1094180	30
1	1097110	1097382	31
1	1100235	1100654	32
1	1102386	1102467	33
1	1103155	1103562	34
1	1104074	1105160	35
1	1108820	1109144	36
1	1109153	1109671	37
1	1114876	1115069	38
1	1115083	1115673	39
1	1117473	1117842	40
1	1118076	1118861	41
1	1132838	1133071	42
1	1133178	1133667	43
1	1141864	1142104	44
1	1142123	1142290	45
1	1144658	1145769	46
1	1157522	1157745	47
1	1158868	1159751	48
1	1167272	1167514	49
1	1173088	1173743	50
1	1177893	1178200	51
1	1181803	1183062	52
1	1202999	1203480	53
1	1209619	1209763	54
1	1216654	1217196	55
1	1228939	1229413	56
1	1238227	1238796	57
1	1242847	1243020	58
1	1243503	1243919	59
1	1244944	1245377	60
1	1259783	1260068	61
1	1267099	1267568	62
1	1271871	1272561	63
1	1273325	1274167	64
1	1283982	1284482	65
1	1310413	1310851	66
1	1322401	1323213	67
1	1333860	1334617	68
1	1342274	1342893	69
1	1342907	1343227	70
1	1357872	1358516	71
1	1369593	1369844	72
1	1389984	1391274	73
1	1395851	1396366	74
1	1407029	1407381	75
1	1447122	1447765	76
1	1457835	1458761	77
1	1462631	1463223	78
1	1470720	1470980	79
1	1475064	1475385	80
1	1496625	1497019	81
1	1510194	1510584	82
1	1510598	1510745	83
1	1525406	1525548	84
1	1549699	1550117	85
1	1550533	1551240	86
1	1590416	1590731	87
1	1602789	1603105	88
1	1623775	1624639	89
1	1677050	1677444	90
